year,make,model,cond,mileage,price
2020,Toyota,4Runner SR5 Premium,Used,17295,44943
2020,Toyota,4Runner SR5 Premium,Used,29002,42357
2019,Toyota,Tundra SR5,Used,38604,41539
2018,Toyota,Prius Four,Used,46484,22450
2018,Toyota,4Runner Limited,Used,56375,42555
2019,Toyota,Highlander XLE,Toyota Certified,11490,41787
2020,Toyota,4Runner SR5 Premium,Used,58116,39989
2021,Toyota,Tacoma SR,Used,17517,36000
2017,Toyota,Corolla LE,Used,40997,18955
2018,Toyota,4Runner Limited,Toyota Certified,19925,41982
2021,Toyota,4Runner TRD Off Road Premium,Used,12868,52995
2019,Toyota,Highlander Limited,Used,11152,40989
2020,Toyota,4Runner SR5,Used,14141,43950
2021,Toyota,Tacoma Limited,Used,16925,47500
2015,Toyota,4Runner SR5 Premium,Used,142009,26992
2017,Toyota,Corolla LE,Used,44335,21999
2016,Toyota,4Runner Limited,Toyota Certified,65233,38455
2021,Toyota,4Runner TRD Off Road Premium,Toyota Certified,16531,49974
2014,Toyota,Land Cruiser V8,Used,202057,38998
2020,Toyota,Avalon XSE,Used,27354,37695
2021,Toyota,Tundra SR5,Used,2729,51995
2019,Toyota,Tundra SR5,Used,39301,42800
2018,Toyota,RAV4 XLE,Used,18879,29491
2016,Toyota,Tundra SR5,Used,75476,32999
2021,Toyota,Tundra SR5,Used,10125,51494
2020,Toyota,Avalon XSE,Toyota Certified,27126,38990
2017,Toyota,RAV4 Hybrid SE,Used,78373,25500
2017,Toyota,RAV4 LE,Toyota Certified,45281,24992
2019,Toyota,Tundra SR5,Used,45422,33914
2015,Toyota,Land Cruiser V8,Used,86837,59495
2004,Toyota,4Runner SR5,Used,247301,7995
2020,Toyota,4Runner SR5 Premium,Toyota Certified,30211,45995
2019,Toyota,Tundra SR5,Used,16481,43999
2019,Toyota,Tacoma TRD Off Road,Used,24164,34000
2016,Toyota,Land Cruiser V8,Toyota Certified,53927,71888
2018,Toyota,RAV4 LE,Used,22014,21995
2021,Toyota,RAV4 Prime SE,Toyota Certified,409,57844
2019,Toyota,4Runner TRD Pro,Used,33224,52498
2020,Toyota,4Runner TRD Off Road Premium,Used,14141,48807
2020,Toyota,4Runner Limited,Toyota Certified,19278,53000
2016,Toyota,Highlander XLE,Used,101337,26920
2019,Toyota,Camry SE,Used,21719,26988
2015,Toyota,4Runner Limited,Used,134909,31900
2020,Toyota,RAV4 XLE,Used,11488,27998
2020,Toyota,4Runner Limited,Used,20871,48650
2016,Toyota,Tundra Platinum,Used,75649,38993
2021,Toyota,Tundra SR5,Used,15771,53990
2018,Toyota,RAV4 LE,Used,23746,26491
2019,Toyota,Camry XSE,Used,32999,34995
2021,Toyota,Tundra SR5,Used,10484,51717
2019,Toyota,RAV4 Limited,Toyota Certified,15081,38995
2021,Toyota,Supra 3.0,Used,11238,55785
2019,Toyota,C-HR LE,Toyota Certified,65422,24988
2006,Toyota,4Runner SR5,Used,131273,14900
2020,Toyota,Tundra SR5,Used,31351,46999
2017,Toyota,Camry SE,Used,66836,19500
2019,Toyota,Highlander ,Used,32284,41464
